OBSERVASJONER - TIMEDATA;;;;;;;
;;;;;;;
Stasjoner;;;;;;;
StationNr;Name;InServiceSince;InServiceUntil;MetersAboveSeaLevel;Principality;County;RegionOrCountry
50480;BERGEN - SANDSLI;jul.83;;45;Bergen;Hordaland;VESTLANDET
50500;FLESLAND;okt.55;;48;Bergen;Hordaland;VESTLANDET
50503;SÆDALEN;nov.04;;215;Bergen;Hordaland;NORGE
50540;BERGEN - FLORIDA;nov.49;;12;Bergen;Hordaland;VESTLANDET
50570;SKREDDERDALEN;aug.16;;175;Bergen;Hordaland;NORGE
50865;GULLFJELLET;aug.16;;345;Bergen;Hordaland;NORGE
;;;;;;;
Elementer;;;;;;;
Kode;Navn;Enhet;;;;;
DD;Vindretning (FF);grader;;;;;
FF;Vindhastighet (10 meter over bakken);m/s;;;;;
RR_1;Nedbør (1 time);mm;;;;;
SA;Snødybde;cm;;;;;
TA;Lufttemperatur;Celcius;;;;;
WAWA;Været ved observasjonstida;kode;;;;;
;;;;;;;
;;;;;;;
Norsk Normaltid (NMT, Norwegian Mean Time) er det samme som sentraleuropeisk tid, tidssonen som ligger en time før UTC, og skrives dermed gjerne UTC+1. Det taes ikke hensyn til sommertid. NMT angir døgnets timer fra 01 til 24.;;;;;;;
****************** MELDING *****************;;;;;;;
50480 Ingen data for FF, DD, WAWA, SA;;;;;;;
********************************************;;;;;;;
****************** MELDING *****************;;;;;;;
50500 Ingen data for SA;;;;;;;
********************************************;;;;;;;
50540;06.05.2016-17:00;0;4,7;153;16,4; ; 
50540;06.05.2016-18:00;0;2,5;151;16,2; ; 
50540;06.05.2016-19:00;0;2,7;243;15,1; ; 
50540;06.05.2016-20:00;0;1,5;300;14,1; ; 
50540;06.05.2016-21:00;0;0,7;145;12,9; ; 
50540;06.05.2016-22:00;0;0,3;350;11,9; ; 
50540;06.05.2016-23:00;0;1,1;160;11,8; ; 
50540;07.05.2016-00:00;0;1,5;164;11,9; ; 
50540;07.05.2016-01:00;0;3;180;14,1; ; 
50540;07.05.2016-02:00;0;2,8;164;14,6; ; 
50540;07.05.2016-03:00;0;3,1;167;14,8; ; 
50540;07.05.2016-04:00;0;2,9;161;14,7; ; 
50540;07.05.2016-05:00;0,3;1,7;166;13; ; 
50540;07.05.2016-06:00;0;2,1;326;12,1; ; 
50540;07.05.2016-07:00;0;1,2;311;11; ; 
50540;07.05.2016-08:00;0;1;321;14,2; ; 
50540;07.05.2016-09:00;0;2,3;301;14; ; 
50540;07.05.2016-10:00;0,1;1,3;309;14,5; ; 
50540;07.05.2016-11:00;0;2,2;294;15,5; ; 
50540;07.05.2016-12:00;0,1;1,6;319;18; ; 
50540;07.05.2016-13:00;0;0,6;71;21,3; ; 
50540;07.05.2016-14:00;0;4,8;181;21,7; ; 
50540;07.05.2016-15:00;0;6,5;172;20,9; ; 
50540;07.05.2016-16:00;0;6;170;21,8; ; 
50540;07.05.2016-17:00;0;5,8;139;21,2; ; 
50540;07.05.2016-18:00;0;6,7;141;20,6; ; 
50540;07.05.2016-19:00;0;5,6;141;19,8; ; 
50540;07.05.2016-20:00;0;3,9;138;19,5; ; 
50540;07.05.2016-21:00;0;4,2;130;19; ; 
50540;07.05.2016-22:00;0;1,8;121;17,7; ; 
50540;07.05.2016-23:00;0;4,7;134;18,4; ; 
50540;08.05.2016-00:00;0;5;136;18,3; ; 
50540;08.05.2016-01:00;0;3,7;140;18,3; ; 
50540;08.05.2016-02:00;0;3,3;164;18,4; ; 
50540;08.05.2016-03:00;0;4,5;162;18,4; ; 
50540;08.05.2016-04:00;0;5,6;139;18,7; ; 
50540;08.05.2016-05:00;0;3,7;154;18; ; 
50540;08.05.2016-06:00;0;5,1;157;18; ; 
50540;08.05.2016-07:00;0;4,8;140;18,9; ; 
50540;08.05.2016-08:00;0;5,3;142;20,6; ; 
50540;08.05.2016-09:00;0;5,6;158;21,2; ; 
50540;08.05.2016-10:00;0;5,2;150;22,2; ; 
50540;08.05.2016-11:00;0;5,8;153;22,9; ; 
50540;08.05.2016-12:00;0;5,6;142;23,6; ; 
50540;08.05.2016-13:00;0;5,9;136;24,2; ; 
50540;08.05.2016-14:00;0;5,3;142;24,4; ; 
50540;08.05.2016-15:00;0;5,4;149;24,4; ; 
50540;08.05.2016-16:00;0;5;170;24,2; ; 
50540;08.05.2016-17:00;0;4,5;165;23,7; ; 
50540;08.05.2016-18:00;0;3;167;22,8; ; 
50540;08.05.2016-19:00;0;4,1;293;17,9; ; 
50540;08.05.2016-20:00;0;1,6;313;17,2; ; 
50540;08.05.2016-21:00;0;1,3;309;16,2; ; 
50540;08.05.2016-22:00;0;0,4;313;14,9; ; 
50540;08.05.2016-23:00;0;0,4;331;14,5; ; 
50540;09.05.2016-00:00;0;0,6;339;13,4; ; 
50540;09.05.2016-01:00;0;0,6;343;12; ; 
50540;09.05.2016-02:00;0;0,8;337;11,6; ; 
50540;09.05.2016-03:00;0;0,8;325;11,3; ; 
50540;09.05.2016-04:00;0;0,5;53;10,7; ; 
50540;09.05.2016-05:00;0;0,5;334;10,9; ; 
50540;09.05.2016-06:00;0;0,5;149;11,6; ; 
50540;09.05.2016-07:00;0;0,4;319;13,2; ; 
50540;09.05.2016-08:00;0;1,1;336;17,7; ; 
50540;09.05.2016-09:00;0;1,2;145;20,4; ; 
50540;09.05.2016-10:00;0;1,8;173;22,5; ; 
50540;09.05.2016-11:00;0;3,8;155;23,2; ; 
50540;09.05.2016-12:00;0;4,3;161;23,5; ; 
50540;09.05.2016-13:00;0;2,7;218;24,1; ; 
50540;09.05.2016-14:00;0;4,8;161;23,8; ; 
50540;09.05.2016-15:00;0;3;237;25,1; ; 
50540;09.05.2016-16:00;0;2,6;205;24,2; ; 
50540;09.05.2016-17:00;0;2,5;248;24,4; ; 
50540;09.05.2016-18:00;0;4,2;329;22,9; ; 
50540;09.05.2016-19:00;0;4,5;346;21,1; ; 
50540;09.05.2016-20:00;0;2,5;307;19,2; ; 
50540;09.05.2016-21:00;0;1,9;297;17,3; ; 
50540;09.05.2016-22:00;0;0,4;136;15,1; ; 
50540;09.05.2016-23:00;0;1,1;323;14,5; ; 
50540;10.05.2016-00:00;0;1,1;323;14,1; ; 
50540;10.05.2016-01:00;0;0,8;322;12,9; ; 
50540;10.05.2016-02:00;0;0,8;153;11,4; ; 
50540;10.05.2016-03:00;0;0,5;118;11; ; 
50540;10.05.2016-04:00;0;0,9;338;10,6; ; 
50540;10.05.2016-05:00;0;0,5;58;10,1; ; 
50540;10.05.2016-06:00;0;0,8;332;11,6; ; 
50540;10.05.2016-07:00;0;0,9;314;13,6; ; 
50540;10.05.2016-08:00;0;0,6;228;16,1; ; 
50540;10.05.2016-09:00;0;0,7;311;17,6; ; 
50540;10.05.2016-10:00;0;2,8;307;18,5; ; 
50540;10.05.2016-11:00;0;2,8;294;20,7; ; 
50540;10.05.2016-12:00;0;3,1;321;21,7; ; 
50540;10.05.2016-13:00;0;3,8;317;22; ; 
50540;10.05.2016-14:00;0;3,5;297;22,3; ; 
50540;10.05.2016-15:00;0;2,9;303;22,4; ; 
50540;10.05.2016-16:00;0;3,6;301;22,1; ; 
50540;10.05.2016-17:00;0;2,9;329;20,7; ; 
50540;10.05.2016-18:00;0;4;339;19,3; ; 
50540;10.05.2016-19:00;0;3,2;306;17,8; ; 
50540;10.05.2016-20:00;0;2,5;307;16,6; ; 
50540;10.05.2016-21:00;0;1,9;314;15,4; ; 
50540;10.05.2016-22:00;0;0,8;311;14,2; ; 
50540;10.05.2016-23:00;0;1,7;332;13,2; ; 
50540;11.05.2016-00:00;0;1;329;11,6; ; 
50540;11.05.2016-01:00;0;0,6;293;10,9; ; 
50540;11.05.2016-02:00;0;0,3;320;10,2; ; 
50540;11.05.2016-03:00;0;0,6;336;10,5; ; 
50540;11.05.2016-04:00;0;0,7;323;9,9; ; 
50540;11.05.2016-05:00;0;0,7;351;9,6; ; 
50540;11.05.2016-06:00;0;0,3;23;10,6; ; 
50540;11.05.2016-07:00;0;0,4;84;12; ; 
50540;11.05.2016-08:00;0;0,4;18;15,2; ; 
50540;11.05.2016-09:00;0;0,6;309;17,8; ; 
50540;11.05.2016-10:00;0;0,6;315;20,4; ; 
50540;11.05.2016-11:00;0;2,5;197;21,3; ; 
50540;11.05.2016-12:00;0;4,3;168;20,7; ; 
50540;11.05.2016-13:00;0;3,4;204;21,4; ; 
50540;11.05.2016-14:00;0;2,6;254;22; ; 
50540;11.05.2016-15:00;0;3,1;329;21,5; ; 
