Fra-tid;Til-tid;Rådhuset | PM2.5 | µg.m³
5.15.2016 5:00;5.15.2016 6:00;3.4
5.15.2016 6:00;5.15.2016 7:00;2.3
5.15.2016 7:00;5.15.2016 8:00;3.6
5.15.2016 8:00;5.15.2016 9:00;3.3
5.15.2016 9:00;5.15.2016 10:00;4.7
5.15.2016 10:00;5.15.2016 11:00;2.3
5.15.2016 11:00;5.15.2016 12:00;3.7
5.15.2016 12:00;5.15.2016 13:00;6.6
5.15.2016 13:00;5.15.2016 14:00;8.5
5.15.2016 14:00;5.15.2016 15:00;5.8
5.15.2016 15:00;5.15.2016 16:00;5.1
5.15.2016 16:00;5.15.2016 17:00;6.6
5.15.2016 17:00;5.15.2016 18:00;5.6
5.15.2016 18:00;5.15.2016 19:00;5.5
5.15.2016 19:00;5.15.2016 20:00;7
5.15.2016 20:00;5.15.2016 21:00;6.8
5.15.2016 21:00;5.15.2016 22:00;5
5.15.2016 22:00;5.15.2016 23:00;4.8
5.15.2016 23:00;5.16.2016 0:00;5.5
5.16.2016 0:00;5.16.2016 1:00;5.4
5.16.2016 1:00;5.16.2016 2:00;4
5.16.2016 2:00;5.16.2016 3:00;5.6
5.16.2016 3:00;5.16.2016 4:00;4.8
5.16.2016 4:00;5.16.2016 5:00;5
5.16.2016 5:00;5.16.2016 6:00;4.5
5.16.2016 6:00;5.16.2016 7:00;4.3
5.16.2016 7:00;5.16.2016 8:00;4.1
5.16.2016 8:00;5.16.2016 9:00;4.2
5.16.2016 9:00;5.16.2016 10:00;4.1
5.16.2016 10:00;5.16.2016 11:00;3.5
5.16.2016 11:00;5.16.2016 12:00;4.5
5.16.2016 12:00;5.16.2016 13:00;4.4
5.16.2016 13:00;5.16.2016 14:00;4.8
5.16.2016 14:00;5.16.2016 15:00;2.8
5.16.2016 15:00;5.16.2016 16:00;2.9
5.16.2016 16:00;5.16.2016 17:00;4.1
5.16.2016 17:00;5.16.2016 18:00;5.6
5.16.2016 18:00;5.16.2016 19:00;3.3
5.16.2016 19:00;5.16.2016 20:00;4.7
5.16.2016 20:00;5.16.2016 21:00;4.7
5.16.2016 21:00;5.16.2016 22:00;2.9
5.16.2016 22:00;5.16.2016 23:00;3.3
5.16.2016 23:00;5.17.2016 0:00;3.2
5.17.2016 0:00;5.17.2016 1:00;4.1
5.17.2016 1:00;5.17.2016 2:00;2.4
5.17.2016 2:00;5.17.2016 3:00;2.9
5.17.2016 3:00;5.17.2016 4:00;4.5
5.17.2016 4:00;5.17.2016 5:00;3.1
5.17.2016 5:00;5.17.2016 6:00;2.7
5.17.2016 6:00;5.17.2016 7:00;2.8
5.17.2016 7:00;5.17.2016 8:00;4.5
5.17.2016 8:00;5.17.2016 9:00;2.3
5.17.2016 9:00;5.17.2016 10:00;5.4
5.17.2016 10:00;5.17.2016 11:00;2
5.17.2016 11:00;5.17.2016 12:00;4.8
5.17.2016 12:00;5.17.2016 13:00;7.2
5.17.2016 13:00;5.17.2016 14:00;4.1
5.17.2016 14:00;5.17.2016 15:00;3.9
5.17.2016 15:00;5.17.2016 16:00;4.9
5.17.2016 16:00;5.17.2016 17:00;5.3
5.17.2016 17:00;5.17.2016 18:00;4.3
5.17.2016 18:00;5.17.2016 19:00;4
5.17.2016 19:00;5.17.2016 20:00;5.3
5.17.2016 20:00;5.17.2016 21:00;6.1
5.17.2016 21:00;5.17.2016 22:00;9.8
5.17.2016 22:00;5.17.2016 23:00;5.7
5.17.2016 23:00;5.18.2016 0:00;4.6
5.18.2016 0:00;5.18.2016 1:00;5.4
5.18.2016 1:00;5.18.2016 2:00;5.1
5.18.2016 2:00;5.18.2016 3:00;5.5
5.18.2016 3:00;5.18.2016 4:00;5.8
