Telledata: Rådata;;;;;Felt 1 og 3;Fra Festplassen;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1 og 3;Fra Festplassen;;;
Tellepunkt: 1200703 - CHRISTIESGT;;;;;;;;
EV 16 Hp: 15 Km: 1509;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
02.05.2016;15:00;3;260;122;8;56;56;17
02.05.2016;16:00;1;504;437;21;23;19;4
02.05.2016;16:00;3;280;125;11;58;72;14
02.05.2016;17:00;1;542;501;12;19;8;2
02.05.2016;17:00;3;334;174;11;68;65;12
02.05.2016;18:00;1;451;422;8;13;6;1
02.05.2016;18:00;3;238;127;4;47;44;15
02.05.2016;19:00;1;329;305;6;13;3;2
02.05.2016;19:00;3;199;123;3;33;29;11
02.05.2016;20:00;1;332;312;6;4;8;2
02.05.2016;20:00;3;194;124;2;22;35;11
02.05.2016;21:00;1;289;270;7;3;7;2
02.05.2016;21:00;3;141;82;0;22;32;5
03.05.2016;08:00;1;418;350;24;30;11;3
03.05.2016;08:00;3;202;59;5;57;67;13
03.05.2016;09:00;1;473;408;21;28;12;4
03.05.2016;09:00;3;293;131;6;69;67;19
03.05.2016;10:00;1;442;376;24;26;13;3
03.05.2016;10:00;3;229;131;9;39;39;10
03.05.2016;11:00;1;446;379;34;24;8;1
03.05.2016;11:00;3;194;109;6;31;39;9
03.05.2016;12:00;1;456;396;32;13;12;2
03.05.2016;12:00;3;237;156;4;30;37;10
03.05.2016;13:00;1;462;413;23;17;7;2
03.05.2016;13:00;3;220;128;12;37;30;11
03.05.2016;14:00;1;466;411;20;24;10;1
03.05.2016;14:00;3;236;150;9;37;31;9
03.05.2016;15:00;1;471;406;19;26;16;1
03.05.2016;15:00;3;260;142;8;41;53;15
03.05.2016;16:00;1;519;445;23;28;17;5
03.05.2016;16:00;3;260;101;8;57;72;18
03.05.2016;17:00;1;498;456;13;12;15;2
03.05.2016;17:00;3;249;117;5;54;62;10
03.05.2016;18:00;1;449;412;9;11;12;4
03.05.2016;18:00;3;230;129;5;39;44;13
03.05.2016;19:00;1;427;404;4;8;9;2
03.05.2016;19:00;3;222;144;3;23;43;8
03.05.2016;20:00;1;372;350;5;6;9;1
03.05.2016;20:00;3;181;123;0;17;34;7
03.05.2016;21:00;1;305;288;2;1;11;2
03.05.2016;21:00;3;160;98;0;24;33;5
03.05.2016;22:00;1;259;239;3;8;7;2
03.05.2016;22:00;3;141;94;1;21;20;5
03.05.2016;23:00;1;206;193;0;3;9;1
03.05.2016;23:00;3;128;83;1;15;22;7
03.05.2016;24:00;1;92;84;0;2;5;1
03.05.2016;24:00;3;80;40;0;17;18;5
04.05.2016;01:00;1;63;56;0;2;2;3
04.05.2016;01:00;3;65;39;0;8;13;5
04.05.2016;02:00;1;35;35;0;0;0;0
04.05.2016;02:00;3;45;43;0;0;2;0
04.05.2016;03:00;1;26;26;0;0;0;0
04.05.2016;03:00;3;28;28;0;0;0;0
04.05.2016;04:00;1;16;16;0;0;0;0
04.05.2016;04:00;3;25;23;0;0;2;0
04.05.2016;05:00;1;17;16;0;0;1;0
04.05.2016;05:00;3;23;14;2;3;4;0
04.05.2016;06:00;1;42;24;9;7;1;1
04.05.2016;06:00;3;35;20;0;6;8;1
04.05.2016;07:00;1;228;182;13;15;14;4
04.05.2016;07:00;3;119;40;0;28;45;6
04.05.2016;08:00;1;423;354;21;23;19;6
04.05.2016;08:00;3;200;69;3;55;59;12
04.05.2016;09:00;1;549;470;31;31;12;5
04.05.2016;09:00;3;282;108;9;77;58;25
04.05.2016;10:00;1;412;365;16;22;9;0
04.05.2016;10:00;3;260;144;13;51;39;13
04.05.2016;11:00;1;433;376;32;15;8;2
04.05.2016;11:00;3;241;159;3;32;36;11
04.05.2016;12:00;1;474;407;34;23;8;2
04.05.2016;12:00;3;241;152;10;25;48;6
04.05.2016;13:00;1;491;446;21;17;7;0
04.05.2016;13:00;3;253;163;10;30;38;12
04.05.2016;14:00;1;483;426;28;21;5;1
04.05.2016;14:00;3;254;155;12;36;42;7
04.05.2016;15:00;1;509;451;21;21;14;1
04.05.2016;15:00;3;275;140;9;56;55;15
04.05.2016;16:00;1;533;466;19;22;19;4
04.05.2016;16:00;3;282;134;8;61;62;17
04.05.2016;17:00;1;562;505;19;21;14;3
04.05.2016;17:00;3;357;214;8;55;59;17
04.05.2016;18:00;1;501;471;11;10;5;2
04.05.2016;18:00;3;280;166;2;54;40;16
